Date,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Winner,home_team_rank,home_team_points,home_team_previous_points,away_team_rank,away_team_points,away_team_previous_points,Home Team Champion,Away Team Champion
1962-05-30,Brazil,2.0,0.0,Mexico,1,1,1841.3,1837.56,13.0,1644.89,1649.57,5.0,0.0
1962-05-30,Argentina,1.0,0.0,Bulgaria,1,3,1773.88,1770.65,72.0,1335.36,1325.16,2.0,0.0
1962-05-30,Chile,3.0,1.0,Switzerland,1,29,1509.61,1514.86,15.0,1635.92,1621.43,0.0,0.0
1962-05-31,Russia,2.0,0.0,Yugoslavia,1,33,1496.11,1493.42,6.0,64.0,64.0,0.0,0.0
1962-05-31,Russia,2.0,0.0,Yugoslavia,1,33,1496.11,1493.42,6.0,64.0,64.0,0.0,0.0
1962-05-31,Czechoslovakia,1.0,0.0,Spain,1,64,24.0,24.0,7.0,1715.22,1716.93,0.0,1.0
1962-05-31,Czechoslovakia,1.0,0.0,Spain,1,64,24.0,24.0,7.0,1715.22,1716.93,0.0,1.0
1962-05-31,Hungary,2.0,1.0,England,1,36,1492.2,1486.76,5.0,1728.47,1737.46,0.0,1.0
1962-05-31,Germany,0.0,0.0,Italy,0,11,1650.21,1658.96,6.0,1726.14,1713.86,4.0,4.0
1962-06-02,Yugoslavia,3.0,1.0,Uruguay,1,6,64.0,64.0,14.0,1638.71,1640.95,0.0,2.0
1962-06-02,Yugoslavia,3.0,1.0,Uruguay,1,6,64.0,64.0,14.0,1638.71,1640.95,0.0,2.0
1962-06-02,Brazil,0.0,0.0,Czechoslovakia,0,1,1841.3,1837.56,64.0,24.0,24.0,5.0,0.0
1962-06-02,Brazil,0.0,0.0,Czechoslovakia,0,1,1841.3,1837.56,64.0,24.0,24.0,5.0,0.0
1962-06-02,England,3.0,1.0,Argentina,1,5,1728.47,1737.46,3.0,1773.88,1770.65,1.0,2.0
1962-06-02,Chile,2.0,0.0,Italy,1,29,1509.61,1514.86,6.0,1726.14,1713.86,0.0,4.0
1962-06-03,Russia,4.0,4.0,Colombia,0,33,1496.11,1493.42,17.0,1611.04,1604.07,0.0,0.0
1962-06-03,Spain,1.0,0.0,Mexico,1,7,1715.22,1716.93,13.0,1644.89,1649.57,1.0,0.0
1962-06-03,Hungary,6.0,1.0,Bulgaria,1,36,1492.2,1486.76,72.0,1335.36,1325.16,0.0,0.0
1962-06-03,Germany,2.0,1.0,Switzerland,1,11,1650.21,1658.96,15.0,1635.92,1621.43,4.0,0.0
1962-06-06,Russia,2.0,1.0,Uruguay,1,33,1496.11,1493.42,14.0,1638.71,1640.95,0.0,2.0
1962-06-06,Brazil,2.0,1.0,Spain,1,1,1841.3,1837.56,7.0,1715.22,1716.93,5.0,1.0
1962-06-06,Hungary,0.0,0.0,Argentina,0,36,1492.2,1486.76,3.0,1773.88,1770.65,0.0,2.0
1962-06-06,Germany,2.0,0.0,Chile,1,11,1650.21,1658.96,29.0,1509.61,1514.86,4.0,0.0
1962-06-07,Yugoslavia,5.0,0.0,Colombia,1,6,64.0,64.0,17.0,1611.04,1604.07,0.0,0.0
1962-06-07,Yugoslavia,5.0,0.0,Colombia,1,6,64.0,64.0,17.0,1611.04,1604.07,0.0,0.0
1962-06-07,Mexico,3.0,1.0,Czechoslovakia,1,13,1644.89,1649.57,64.0,24.0,24.0,0.0,0.0
1962-06-07,Mexico,3.0,1.0,Czechoslovakia,1,13,1644.89,1649.57,64.0,24.0,24.0,0.0,0.0
1962-06-07,England,0.0,0.0,Bulgaria,0,5,1728.47,1737.46,72.0,1335.36,1325.16,1.0,0.0
1962-06-07,Italy,3.0,0.0,Switzerland,1,6,1726.14,1713.86,15.0,1635.92,1621.43,4.0,0.0
1962-06-10,Chile,2.0,1.0,Russia,1,29,1509.61,1514.86,33.0,1496.11,1493.42,0.0,0.0
1962-06-10,Brazil,3.0,1.0,England,1,1,1841.3,1837.56,5.0,1728.47,1737.46,5.0,1.0
